ID,Fraction_ID,Envelope_num,Mass,MonoMz,Charge,Intensity,mzLo,mzHi,rtLo,rtHi,color,opacity,promex_score
6,0,31,11326.5,872.274,13,2.39022e+08,872.251,873.53,120.15,135.213,#FF0000,0.1,46.8886
6,0,27,11326.5,810.04,14,2.69699e+08,810.012,811.214,122.242,132.502,#FF0000,0.1,46.8886
6,0,23,11326.5,756.105,15,2.08632e+08,756.072,757.207,120.15,132.502,#FF0000,0.1,46.8886
6,0,23,11326.5,708.911,16,1.55996e+08,708.874,709.951,122.995,132.502,#FF0000,0.1,46.8886
6,0,23,11326.5,667.27,17,9.37874e+07,667.229,668.254,122.65,133.584,#FF0000,0.1,46.8886
6,0,20,11326.5,630.255,18,4.34183e+07,630.211,631.191,123.378,132.502,#FF0000,0.1,46.8886
6,0,6,11326.5,597.137,19,4.37496e+06,597.09,598.028,127.533,130.463,#FF0000,0.1,46.8886
7,0,2,11335.4,1890.24,6,402230,1890.31,1892.85,145.09,153.761,#FF0000,0.1,27.3951
7,0,35,11335.4,1620.35,7,2.73749e+07,1620.4,1622.6,133.194,162.151,#FF0000,0.1,27.3951
7,0,61,11335.4,1417.94,8,1.78134e+08,1417.96,1419.91,128.305,183.625,#FF0000,0.1,27.3951
7,0,64,11335.4,1260.5,9,1.4872e+08,1260.51,1262.27,127.533,173.038,#FF0000,0.1,27.3951
7,0,59,11335.4,1134.55,10,5.05355e+07,1134.55,1136.15,123.378,173.038,#FF0000,0.1,27.3951
7,0,57,11335.4,1031.5,11,4.97822e+07,1031.49,1032.97,120.71,175.005,#FF0000,0.1,27.3951
7,0,57,11335.4,945.626,12,5.18378e+07,945.61,946.979,120.15,174.348,#FF0000,0.1,27.3951
7,0,57,11335.4,872.963,13,4.54071e+07,872.94,874.22,119.724,185.607,#FF0000,0.1,27.3951
7,0,40,11335.4,810.68,14,3.15984e+07,810.652,811.854,133.584,183.625,#FF0000,0.1,27.3951
7,0,30,11335.4,756.702,15,1.9893e+07,756.669,757.805,133.938,179.642,#FF0000,0.1,27.3951
7,0,30,11335.4,709.471,16,1.39378e+07,709.434,710.511,121.197,176.99,#FF0000,0.1,27.3951
7,0,31,11335.4,667.797,17,8.55791e+06,667.756,668.781,120.71,163.354,#FF0000,0.1,27.3951
7,0,1,11335.4,630.753,18,528194,630.709,631.688,136.261,136.261,#FF0000,0.1,27.3951
8,0,3,11344.5,1891.75,6,1.05306e+06,1891.82,1894.36,125.313,140.435,#FF0000,0.1,10.1218
8,0,16,11344.5,1621.64,7,9.33519e+06,1621.69,1623.89,134.816,154.216,#FF0000,0.1,10.1218
8,0,8,11344.5,1419.06,8,4.58419e+07,1419.09,1421.04,128.305,155.172,#FF0000,0.1,10.1218
8,0,3,11344.5,1261.5,9,1.02734e+08,1261.51,1263.27,127.533,129.776,#FF0000,0.1,10.1218
8,0,1,11344.5,1135.45,10,144674,1135.45,1137.06,154.216,154.216,#FF0000,0.1,10.1218
8,0,1,11344.5,946.379,12,156980,946.362,947.732,159.882,159.882,#FF0000,0.1,10.1218
8,0,3,11344.5,873.658,13,924603,873.635,874.915,141.855,187.59,#FF0000,0.1,10.1218
8,0,3,11344.5,811.326,14,326113,811.297,812.5,158.173,167.833,#FF0000,0.1,10.1218
8,0,3,11344.5,757.304,15,282377,757.271,758.407,158.173,175.005,#FF0000,0.1,10.1218
8,0,5,11344.5,710.036,16,1.93801e+06,709.999,711.076,133.584,184.288,#FF0000,0.1,10.1218
8,0,2,11344.5,668.328,17,260144,668.287,669.313,142.32,165.883,#FF0000,0.1,10.1218
9,0,1,22570.9,1129.55,20,4.38677e+06,1129.7,1130.91,138.63,138.63,#FF0000,0.1,-680.695
9,0,1,22570.9,1026.96,22,4.26858e+06,1027.09,1028.2,144.513,144.513,#FF0000,0.1,-680.695
9,0,1,22570.9,869.119,26,1.91608e+06,869.212,870.183,131.836,131.836,#FF0000,0.1,-680.695
9,0,2,22570.9,753.371,30,3.54766e+07,753.438,754.306,137.383,139.297,#FF0000,0.1,-680.695
10,0,9,11383.5,1898.25,6,5.76518e+06,1898.32,1900.86,122.65,127.912,#FF0000,0.1,47.0876
10,0,22,11383.5,1627.22,7,3.70916e+07,1627.26,1629.47,122.242,153.403,#FF0000,0.1,47.0876
10,0,32,11383.5,1423.94,8,2.27883e+08,1423.97,1425.92,122.242,151.034,#FF0000,0.1,47.0876
10,0,35,11383.5,1265.84,9,2.43808e+08,1265.85,1267.61,121.783,149.389,#FF0000,0.1,47.0876
10,0,35,11383.5,1139.36,10,1.13152e+08,1139.36,1140.96,120.15,151.955,#FF0000,0.1,47.0876
10,0,34,11383.5,1035.87,11,1.32989e+08,1035.86,1037.34,119.724,153.761,#FF0000,0.1,47.0876
10,0,33,11383.5,949.631,12,2.04852e+08,949.615,950.984,122.242,150.642,#FF0000,0.1,47.0876
10,0,39,11383.5,876.66,13,2.46926e+08,876.637,877.917,121.783,152.405,#FF0000,0.1,47.0876
10,0,42,11383.5,814.113,14,2.77486e+08,814.085,815.287,120.15,149.903,#FF0000,0.1,47.0876
10,0,40,11383.5,759.906,15,2.31286e+08,759.873,761.009,119.724,153.403,#FF0000,0.1,47.0876
10,0,29,11383.5,712.475,16,1.56433e+08,712.438,713.515,119.724,152.899,#FF0000,0.1,47.0876
10,0,25,11383.5,670.624,17,7.41101e+07,670.583,671.609,122.242,153.403,#FF0000,0.1,47.0876
10,0,15,11383.5,633.423,18,2.08161e+07,633.379,634.358,122.242,127.061,#FF0000,0.1,47.0876
10,0,6,11383.5,600.138,19,2.19524e+06,600.091,601.029,122.65,125.985,#FF0000,0.1,47.0876
11,0,1,2511.79,1256.9,2,2.66897e+07,1256.8,1259.51,133.584,133.584,#FF0000,0.1,-561.18
12,0,1,21100.7,754.602,28,2.65389e+07,754.681,755.561,134.352,134.352,#FF0000,0.1,-604.803
13,0,19,11284.5,1881.75,6,5.56385e+06,1881.82,1884.36,140.043,155.691,#FF0000,0.1,43.8431
13,0,67,11284.5,1613.07,7,8.16304e+07,1613.12,1615.32,137.012,176.99,#FF0000,0.1,43.8431
13,0,114,11284.5,1411.57,8,5.57108e+08,1411.59,1413.55,125.648,189.558,#FF0000,0.1,43.8431
13,0,116,11284.5,1254.84,9,6.72148e+08,1254.85,1256.61,125.648,189.558,#FF0000,0.1,43.8431
13,0,98,11284.5,1129.45,10,2.61982e+08,1129.45,1131.06,125.985,188.242,#FF0000,0.1,43.8431
13,0,108,11284.5,1026.87,11,2.76668e+08,1026.86,1028.33,124.599,186.27,#FF0000,0.1,43.8431
13,0,113,11284.5,941.379,12,4.73676e+08,941.363,942.733,123.378,188.9,#FF0000,0.1,43.8431
13,0,120,11284.5,869.043,13,7.83531e+08,869.02,870.3,124.945,186.27,#FF0000,0.1,43.8431
13,0,123,11284.5,807.041,14,8.95526e+08,807.012,808.215,122.995,188.242,#FF0000,0.1,43.8431
13,0,120,11284.5,753.305,15,7.2905e+08,753.272,754.407,122.65,188.242,#FF0000,0.1,43.8431
13,0,122,11284.5,706.286,16,5.14593e+08,706.249,707.326,122.995,189.558,#FF0000,0.1,43.8431
13,0,113,11284.5,664.799,17,2.75307e+08,664.758,665.784,122.995,187.59,#FF0000,0.1,43.8431
